ScientistName,preparation,date,components,login,password
Туржанский Семён Антонович,Уоллтапс,1042-06-13,"Chemical_18 Chemical_78 Chemical_92
",Туржанский_СА,asdfQWEk7j
Цыпушкина Елена Андреевна,Енап,1837-04-20,"Chemical_77 Chemical_69 Chemical_1
",Цыпушкина_ЕА,asdfQWEj57
Лунарева Ксения Алексеевна,Ранитидин,1382-08-04,"Chemical_10 Chemical_97 Chemical_88
",Лунарева_КА,asdfQWEF19
Ивлюшин Георгий Николаевич,Амоксициллин,1202-01-01,"Chemical_85 Chemical_54 Chemical_72
",Ивлюшин_ГН,asdfQWEF0k
Гудашов Юрий Алексиевич,Ибупрофен,1736-03-19,"Chemical_7 Chemical_9 Chemical_40
",Гудашов_ЮА,asdfQWEk70
Чачкин Владислав Денисович,Небиволол,1474-01-02,"Chemical_85 Chemical_98 Chemical_94
",Чачкин_ВД,asdfQWEH2b
Тайдаков Виталий Романович,Габапентин,1154-10-13,"Chemical_10 Chemical_61 Chemical_4
",Тайдаков_ВР,asdfQWEhg2
Бояршинов Алексей Адамович,Ингавирин,1907-06-08,"Chemical_32 Chemical_35 Chemical_22
",Бояршинов_АА,asdfQWEFG4
Докшукина Оксана Петровна,Пилипен,1491-03-01,"Chemical_93 Chemical_32 Chemical_8
",Докшукина_ОП,asdfQWEm3H
Бганцева Клавдия Егоровна,Левофлоксацин,1306-02-15,"Chemical_18 Chemical_16 Chemical_12
",Бганцева_КЕ,asdfQWEk03
Чубокова Виолетта Валерьевна,Бактрим,1103-03-12,"Chemical_6 Chemical_72 Chemical_15
",Чубокова_ВВ,asdfQWEH6J
Голощапов Станислав Яковлевич,Азитромицин,1419-08-05,"Chemical_17 Chemical_73 Chemical_39
",Голощапов_СЯ,asdfQWEF30
Лукьянцев Эдуард Евгеньевич,Оксикодон,1320-05-12,"Chemical_40 Chemical_66 Chemical_81
",Лукьянцев_ЭЕ,asdfQWEh57
Мазаркина Инна Сергеевна,Урсофальк,1174-11-25,"Chemical_96 Chemical_27 Chemical_81
",Мазаркина_ИС,asdfQWEkh7
Иманалин Борис Кириллович,Сульфасалазин,1684-08-28,"Chemical_53 Chemical_71 Chemical_80
",Иманалин_БК,asdfQWEhj6
Поканкина Марина Михайловна,Глюкозамин,1008-12-26,"Chemical_2 Chemical_85 Chemical_55
",Поканкина_ММ,asdfQWEmK3
Такинова Жанна Эдуардовна,Тикалиптин,1257-06-04,"Chemical_2 Chemical_60 Chemical_35
",Такинова_ЖЭ,asdfQWEg73
Клецкина Виктория Яковлевна,Ёжик,1800-08-04,"Chemical_32 Chemical_18 Chemical_21
",Клецкина_ВЯ,asdfQWEj20
Космынин Константин Павлович,Мидокалм,1380-09-07,"Chemical_63 Chemical_19 Chemical_25
",Космынин_КП,asdfQWEg2n
Курцапов Виктор Иванович,Витамин С,1104-12-05,"Chemical_11 Chemical_22 Chemical_63
",Курцапов_ВИ,asdfQWEm3L
Шарафанова Виктория Егоровна,Протоник,1004-04-20,"Chemical_9 Chemical_97 Chemical_88
",Шарафанова_ВЕ,asdfQWEmk0
Лушаков Руслан Василиевич,Омепразол,1128-03-25,"Chemical_12 Chemical_17 Chemical_62
",Лушаков_РВ,asdfQWEg4b
Балченкова Оксана Вадимовна,Ранитидин,1438-04-13,"Chemical_9 Chemical_16 Chemical_4
",Балченкова_ОВ,asdfQWEF90
Комаровцев Михаил Максимович,Оксикодон,1424-12-02,"Chemical_6 Chemical_45 Chemical_21
",Комаровцев_ММ,asdfQWEk57
Машурцева Алена Кирилловна,Левотироксин,1548-02-02,"Chemical_42 Chemical_6 Chemical_92
",Машурцева_АК,asdfQWEj27
Алшибекова Вероника Леонидовна,Преднизолон,1231-04-18,"Chemical_64 Chemical_29 Chemical_68
",Алшибекова_ВЛ,asdfQWEh9H
Карликов Федор Викторович,Ацетилсалициловая кислота,1340-05-22,"Chemical_56 Chemical_36 Chemical_38
",Карликов_ФВ,asdfQWEh92
Махначев Павел Максимович,Урсофальк,0903-09-18,"Chemical_33 Chemical_5 Chemical_47
",Махначев_ПМ,asdfQWEH8j
Мухоткин Валентин Кириллович,Пилипен,1051-12-04,"Chemical_41 Chemical_17 Chemical_15
",Мухоткин_ВК,asdfQWEG3v
Ведмедова Раиса Дмитриевна,Бетаин,1312-08-23,"Chemical_78 Chemical_84 Chemical_23
",Ведмедова_РД,asdfQWEH87
Отовина Любовь Игоревна,Индометацин,1600-11-20,"Chemical_44 Chemical_90 Chemical_85
",Отовина_ЛИ,asdfQWEmH7
Алавердиев Степан Олегович,Росувастатин,1710-06-20,"Chemical_8 Chemical_73 Chemical_53
",Алавердиев_СО,asdfQWEgL3
Хотькова Виктория Игоревна,Сертралин,1015-01-18,"Chemical_77 Chemical_22 Chemical_2
",Хотькова_ВИ,asdfQWEmc3
Болхова Яна Никитична,Валидол,1988-08-09,"Chemical_27 Chemical_66 Chemical_94
",Болхова_ЯН,asdfQWEj5m
Савыкин Геннадий Георгиевич,Тианептин,1002-05-22,"Chemical_46 Chemical_14 Chemical_72
",Савыкин_ГГ,asdfQWEG06
Бобова Марина Вадимовна,Виагра,1968-03-15,"Chemical_33 Chemical_16 Chemical_31
",Бобова_МВ,asdfQWEm46
Будрецова Клавдия Вадимовна,Сертралин,1664-01-24,"Chemical_61 Chemical_38 Chemical_92
",Будрецова_КВ,asdfQWEh84
Мятов Алексей Юриевич,Рамиприл,1425-08-18,"Chemical_72 Chemical_56 Chemical_10
",Мятов_АЮ,asdfQWEj43
Кувецкая Валерия Леонидовна,Гидрохлоротиазид,1422-08-22,"Chemical_17 Chemical_69 Chemical_59
",Кувецкая_ВЛ,asdfQWEk6v
Буралкина Екатерина Аркадьевна,Омега-3 кислоты,1873-05-13,"Chemical_72 Chemical_28 Chemical_90
",Буралкина_ЕА,asdfQWEF31
Хихеткин Артур Евгеньевич,Азитромицин,1705-12-14,"Chemical_39 Chemical_80 Chemical_63
",Хихеткин_АЕ,asdfQWEjL6
Майоркин Николай Фёдорович,Бисакодил,1587-07-04,"Chemical_8 Chemical_2 Chemical_54
",Майоркин_НФ,asdfQWEG8J
Кудисов Леонид Фёдорович,Триптаны,1862-02-05,"Chemical_14 Chemical_99 Chemical_4
",Кудисов_ЛФ,asdfQWEh2g
Калмыков Эдуард Георгиевич,Лоразепам,1256-01-24,"Chemical_59 Chemical_99 Chemical_20
",Калмыков_ЭГ,asdfQWEmv6
Бетова Наталья Василевна,Дектанол,1422-04-20,"Chemical_38 Chemical_61 Chemical_89
",Бетова_НВ,asdfQWEH40
Искуснова Алла Максимовна,Золедроновая кислота,1269-06-24,"Chemical_80 Chemical_10 Chemical_51
",Искуснова_АМ,asdfQWEgc8
Ващугина Надежда Петровна,Метформин,1166-02-10,"Chemical_11 Chemical_45 Chemical_38
",Ващугина_НП,asdfQWEhk7
Каинкова Виктория Валерьевна,Амлодипин,1718-05-07,"Chemical_3 Chemical_98 Chemical_89
",Каинкова_ВВ,asdfQWEg52
Заиров Кирилл Максимович,Пропанолол,1288-01-06,"Chemical_27 Chemical_70 Chemical_95
",Заиров_КМ,asdfQWEj6L
Хайзникова Дарья Сергеевна,Пилипен,1987-10-10,"Chemical_97 Chemical_82 Chemical_99
",Хайзникова_ДС,asdfQWEF48
Литвинцов Степан Яковлевич,Ниссан,1343-04-25,"Chemical_57 Chemical_33 Chemical_36
",Литвинцов_СЯ,asdfQWEg0k
Кушаев Геннадий Игоревич,Диклофенак,1001-05-07,"Chemical_16 Chemical_48 Chemical_94
",Кушаев_ГИ,asdfQWEHF8
Шинякова Светлана Егоровна,Зинорам,1157-11-16,"Chemical_26 Chemical_5 Chemical_8
",Шинякова_СЕ,asdfQWEj6g
Федулин Альберт Иванович,Амоксиклав,1063-06-15,"Chemical_78 Chemical_30 Chemical_55
",Федулин_АИ,asdfQWEk78
Одноценова Мария Василевна,Бактрим,1426-04-13,"Chemical_14 Chemical_19 Chemical_45
",Одноценова_МВ,asdfQWEm3n
Любарцев Борис Викторович,Амитриптилин,1655-01-24,"Chemical_81 Chemical_12 Chemical_93
",Любарцев_БВ,asdfQWEH5K
Османова Екатерина Егоровна,Миртазапин,1509-03-03,"Chemical_96 Chemical_72 Chemical_69
",Османова_ЕЕ,asdfQWEk0K
Потрягина Кристина Романовна,Пропанолол,1060-03-02,"Chemical_58 Chemical_14 Chemical_83
",Потрягина_КР,asdfQWEH36
Балуев Семён Антонович,Норматен,1662-11-07,"Chemical_95 Chemical_58 Chemical_71
",Балуев_СА,asdfQWEG46
Екимовский Владислав Фёдорович,Венолайфт,0926-06-22,"Chemical_59 Chemical_56 Chemical_77
",Екимовский_ВФ,asdfQWEGv9
Шпанина Маргарита Максимовна,Пентоксифиллин,1432-09-20,"Chemical_12 Chemical_22 Chemical_37
",Шпанина_ММ,asdfQWEm7v
Пошнагова Юлия Кирилловна,Железа препараты,1815-11-04,"Chemical_61 Chemical_38 Chemical_2
",Пошнагова_ЮК,asdfQWEm54
Кудинкова Ирина Михайловна,Кандесартан,1580-12-23,"Chemical_90 Chemical_100 Chemical_60
",Кудинкова_ИМ,asdfQWEjG2
Водоморина Софья Яковлевна,Метопролол,1599-06-03,"Chemical_33 Chemical_79 Chemical_68
",Водоморина_СЯ,asdfQWEF3c
Липезина Анна Алексеевна,Тианептин,1244-04-02,"Chemical_17 Chemical_84 Chemical_70
",Липезина_АА,asdfQWEjK6
Илалов Тарас Яковлевич,Допамин,1025-05-04,"Chemical_51 Chemical_21 Chemical_67
",Илалов_ТЯ,asdfQWEk54
Лакушова Тамара Ивановна,Бетаин,1016-09-01,"Chemical_91 Chemical_90 Chemical_42
",Лакушова_ТИ,asdfQWEm2J
Ярмизина Алиса Богдановна,Живина,1120-09-19,"Chemical_11 Chemical_15 Chemical_69
",Ярмизина_АБ,asdfQWEm84
Зулков Станислав Антонович,Валацикловир,1630-11-10,"Chemical_7 Chemical_61 Chemical_87
",Зулков_СА,asdfQWEj9m
Кочурин Евгений Данилович,Транексамовая кислота,1574-01-11,"Chemical_97 Chemical_25 Chemical_5
",Кочурин_ЕД,asdfQWEj03
Череватова Вероника Вадимовна,Кандесартан,0998-12-19,"Chemical_39 Chemical_85 Chemical_90
",Череватова_ВВ,asdfQWEj2c
Курьянская Любовь Федоровна,Железа препараты,1432-03-23,"Chemical_31 Chemical_72 Chemical_15
",Курьянская_ЛФ,asdfQWEgL7
Бачалдина Яна Максимовна,Урсофальк,1492-06-18,"Chemical_16 Chemical_96 Chemical_33
",Бачалдина_ЯМ,asdfQWEH73
Наруцкая Катерина Андреевна,Венолайфт,0951-01-04,"Chemical_84 Chemical_47 Chemical_3
",Наруцкая_КА,asdfQWEHj3
Набилкова Софья Борисовна,Дексаметазон,1625-08-25,"Chemical_6 Chemical_96 Chemical_4
",Набилкова_СБ,asdfQWEm8G
Меркулов Андрей Аркадиевич,Мелоксикам,1905-09-07,"Chemical_46 Chemical_74 Chemical_56
",Меркулов_АА,asdfQWEm0G
Скитский Вадим Викторович,Лоразепам,1725-10-11,"Chemical_14 Chemical_81 Chemical_84
",Скитский_ВВ,asdfQWEh07
Шаульская Надежда Максимовна,Дектанол,1077-04-05,"Chemical_27 Chemical_31 Chemical_39
",Шаульская_НМ,asdfQWEHL0
Распевин Константин Валериевич,Гидрохлоротиазид,1634-09-05,"Chemical_31 Chemical_94 Chemical_68
",Распевин_КВ,asdfQWEh80
Агешкин Александр Романович,Бетаметазон,1403-04-27,"Chemical_97 Chemical_18 Chemical_58
",Агешкин_АР,asdfQWEFJ6
Хайдина Маргарита Алексеевна,Бромгексин,1448-08-07,"Chemical_71 Chemical_18 Chemical_99
",Хайдина_МА,asdfQWEg9j
Духиева Алла Никитична,Гидрохлоротиазид,1163-04-13,"Chemical_64 Chemical_11 Chemical_44
",Духиева_АН,asdfQWEmv2
Щуринова Ольга Вадимовна,Валацикловир,1171-09-14,"Chemical_1 Chemical_26 Chemical_84
",Щуринова_ОВ,asdfQWEm01
Кеплина Наталия Борисовна,Витамин С,1811-03-23,"Chemical_49 Chemical_75 Chemical_27
",Кеплина_НБ,asdfQWEjg1
Шелмаков Георгий Николаевич,Золаир,1188-05-12,"Chemical_93 Chemical_31 Chemical_58
",Шелмаков_ГН,asdfQWEG2k
Лошадина Екатерина Евгеньевна,Жасмин,1783-12-14,"Chemical_11 Chemical_44 Chemical_39
",Лошадина_ЕЕ,asdfQWEFk1
Ароматова Анастасия Максимовна,Железа препараты,1239-07-25,"Chemical_47 Chemical_7 Chemical_75
",Ароматова_АМ,asdfQWEFK0
Голыбина Оксана Михайловна,Евалар солгар мультивитамини,2022-02-08,"Chemical_100 Chemical_14 Chemical_94
",Голыбина_ОМ,asdfQWEkg8
Кувыршина Валерия Игоревна,Золекс,1630-01-01,"Chemical_64 Chemical_71 Chemical_27
",Кувыршина_ВИ,asdfQWEj7g
Хитьков Анатолий Петрович,Аллопуринол,1519-07-04,"Chemical_87 Chemical_96 Chemical_19
",Хитьков_АП,asdfQWEjc3
Шибилкин Яков Кириллович,Антациды,1518-10-06,"Chemical_83 Chemical_15 Chemical_80
",Шибилкин_ЯК,asdfQWEF6b
Кереметин Вячеслав Тимофеевич,Зинорам,1637-04-21,"Chemical_83 Chemical_25 Chemical_38
",Кереметин_ВТ,asdfQWEF1v
Брокина Дарья Олеговна,Ацетилсалициловая кислота,1327-01-03,"Chemical_8 Chemical_68 Chemical_90
",Брокина_ДО,asdfQWEHk5
Ачин Герасим Данилович,Гидрохлоротиазид,1014-01-22,"Chemical_18 Chemical_70 Chemical_37
",Ачин_ГД,asdfQWEk62
Тановицкий Тарас Виталиевич,Тикалиптин,1762-03-15,"Chemical_55 Chemical_91 Chemical_31
",Тановицкий_ТВ,asdfQWEkF4
Беломожнов Михаил Романович,Левотироксин,1072-09-24,"Chemical_46 Chemical_12 Chemical_12
",Беломожнов_МР,asdfQWEh5K
Хорошилин Кирилл Фёдорович,Мезим,1820-07-08,"Chemical_16 Chemical_44 Chemical_52
",Хорошилин_КФ,asdfQWEFj9
Киржанкова Алиса Вадимовна,Виалар,1652-12-11,"Chemical_76 Chemical_49 Chemical_89
",Киржанкова_АВ,asdfQWEk07
Цуканов Иван Иванович,Венолайфт,1674-07-26,"Chemical_9 Chemical_26 Chemical_26
",Цуканов_ИИ,asdfQWEk38
Потешных Дмитрий Иванович,Колчицин,1097-08-05,"Chemical_97 Chemical_4 Chemical_22
",Потешных_ДИ,asdfQWEg2c
Суряднова Виолетта Богдановна,Протоник,1700-07-01,"Chemical_88 Chemical_25 Chemical_95
",Суряднова_ВБ,asdfQWEkg2
Кажайкина Карина Эдуардовна,Парацетамол,1254-11-19,"Chemical_52 Chemical_10 Chemical_70
",Кажайкина_КЭ,asdfQWEF24
Рабовский Дмитрий Яковлевич,Витамин С,0924-02-08,"Chemical_35 Chemical_80 Chemical_55
",Рабовский_ДЯ,asdfQWEG3k
Едамов Аркадий Тимофеевич,Амоксициллин,1567-10-19,"Chemical_10 Chemical_40 Chemical_23
",Едамов_АТ,asdfQWEjg0
Столбова София Василевна,Атенолол,0940-07-17,"Chemical_47 Chemical_34 Chemical_45
",Столбова_СВ,asdfQWEk2n
Смаркин Семён Андреевич,Золаир,1973-12-11,"Chemical_66 Chemical_71 Chemical_50
",Смаркин_СА,asdfQWEhb6
Колтакова Алиса Максимовна,Иммунивит,1056-07-16,"Chemical_52 Chemical_1 Chemical_80
",Колтакова_АМ,asdfQWEj64
Фимошина Виктория Романовна,Левотироксин,1814-03-23,"Chemical_72 Chemical_3 Chemical_59
",Фимошина_ВР,asdfQWEGg2
Крыницкий Владимир Борисович,Омепразол,0959-10-21,"Chemical_4 Chemical_20 Chemical_41
",Крыницкий_ВБ,asdfQWEmG0
Косых Жанна Михайловна,Пентоксифиллин,1449-09-05,"Chemical_87 Chemical_89 Chemical_72
",Косых_ЖМ,asdfQWEgm2
Кваснинов Кирилл Адамович,Ретардин,1267-09-14,"Chemical_22 Chemical_11 Chemical_68
",Кваснинов_КА,asdfQWEm86
Чундерова Катерина Никитична,Колчицин,1755-10-02,"Chemical_68 Chemical_17 Chemical_74
",Чундерова_КН,asdfQWEF4k
Худаева Виктория Богдановна,Диклофенак,1833-07-23,"Chemical_29 Chemical_53 Chemical_96
",Худаева_ВБ,asdfQWEk21
Хапилов Герасим Денисович,Пропанолол,1458-04-23,"Chemical_10 Chemical_64 Chemical_91
",Хапилов_ГД,asdfQWEjm8
Ордянская Елизавета Вадимовна,Енап,1926-02-14,"Chemical_5 Chemical_9 Chemical_36
",Ордянская_ЕВ,asdfQWEH4h
Бахматова Вера Борисовна,Гропирон,1575-12-23,"Chemical_89 Chemical_82 Chemical_73
",Бахматова_ВБ,asdfQWEm10
Хатуцкая Галина Романовна,Урсофальк,1518-09-04,"Chemical_81 Chemical_50 Chemical_46
",Хатуцкая_ГР,asdfQWEkH2
Левжинская Екатерина Кирилловна,Атенолол,1830-03-09,"Chemical_98 Chemical_91 Chemical_74
",Левжинская_ЕК,asdfQWEk76
Колбиев Андрей Георгиевич,Миртазапин,1963-09-11,"Chemical_91 Chemical_45 Chemical_71
",Колбиев_АГ,asdfQWEk2G
Мамсуров Валентин Алексеевич,Урсофальк,1824-07-22,"Chemical_73 Chemical_82 Chemical_41
",Мамсуров_ВА,asdfQWEjb0
Нягусева Клара Никитична,Бактрим,1971-09-01,"Chemical_46 Chemical_84 Chemical_83
",Нягусева_КН,asdfQWEFJ8
Биклинев Никита Фёдорович,Евалар солгар мультивитамини,1124-08-10,"Chemical_26 Chemical_95 Chemical_71
",Биклинев_НФ,asdfQWEk12
Осоргин Григорий Денисович,Зылорик,1201-05-27,"Chemical_63 Chemical_98 Chemical_69
",Осоргин_ГД,asdfQWEF2v
Поводова Вероника Федоровна,Лозартан,1520-08-22,"Chemical_3 Chemical_5 Chemical_44
",Поводова_ВФ,asdfQWEH6L
Шишанкова Алла Алексеевна,Бензоилпероксид,1115-02-04,"Chemical_77 Chemical_66 Chemical_79
",Шишанкова_АА,asdfQWEFm5
Скарлыкин Павел Яковлевич,Золедроновая кислота,1037-07-04,"Chemical_5 Chemical_93 Chemical_49
",Скарлыкин_ПЯ,asdfQWEk0J
Корельцев Валерий Адамович,Валидол,2021-11-07,"Chemical_26 Chemical_60 Chemical_42
",Корельцев_ВА,asdfQWEjm7
Сочинский Владислав Антонович,Пилипен,1773-11-11,"Chemical_97 Chemical_8 Chemical_73
",Сочинский_ВА,asdfQWEHn3
Крамина Клара Дмитриевна,Мелатонин,1449-09-06,"Chemical_85 Chemical_77 Chemical_17
",Крамина_КД,asdfQWEj6b
Мошаева Кира Валерьевна,Глюкозамин,1709-01-08,"Chemical_25 Chemical_79 Chemical_11
",Мошаева_КВ,asdfQWEG2c
Ахмадуллин Александр Евгеньевич,Амитриптилин,0960-12-26,"Chemical_90 Chemical_77 Chemical_84
",Ахмадуллин_АЕ,asdfQWEjH3
Бургов Иван Михаилович,Итрафунгол,1145-09-06,"Chemical_26 Chemical_92 Chemical_80
",Бургов_ИМ,asdfQWEm8K
Мошевитин Юрий Виталиевич,Линезолид,1181-11-22,"Chemical_48 Chemical_97 Chemical_5
",Мошевитин_ЮВ,asdfQWEF3n
Макарова София Ивановна,Левофлоксацин,1331-02-21,"Chemical_69 Chemical_61 Chemical_62
",Макарова_СИ,asdfQWEmk3
Ганчева Кира Олеговна,Зылорик,1288-08-10,"Chemical_39 Chemical_83 Chemical_73
",Ганчева_КО,asdfQWEmg5
Алятин Эдуард Романович,Кладрибин,1409-03-13,"Chemical_51 Chemical_70 Chemical_29
",Алятин_ЭР,asdfQWEm4g
Глинкин Владимир Викторович,Пентоксифиллин,1637-09-23,"Chemical_11 Chemical_18 Chemical_63
",Глинкин_ВВ,asdfQWEmL9
Строгалев Леонид Вадимович,Пропанолол,1530-12-11,"Chemical_31 Chemical_96 Chemical_91
",Строгалев_ЛВ,asdfQWEhH9
Гирина Ева Никитична,Живина,1850-01-12,"Chemical_94 Chemical_8 Chemical_86
",Гирина_ЕН,asdfQWEj7F
